CountryName,YearExclInfLab,Polyarchy,LibDem,ParticipDem,EgalDem,FreeFairElect,EqualAccess,CPIScore,CPIScoreRank,CPIScoreStdErr,EconIntelRating,SnPGloInsightsRating,WEFRating,InfLabYear,MaleInfLab,FemInfLab,TotInfLab
Oman,2024,0.174,0.14,0.125,0.177,0.686,0.34,0.55,50,0.06488842,0.67,0.59,0.82,NA,NA,NA,NA
Paraguay,2024,0.579,0.388,0.343,0.249,0.623,0.476,0.24,149,0.02330985,0.35,0.19,0.1,2024,66.482,68.429,67.31
Romania,2024,0.629,0.445,0.423,0.45,0.772,0.815,0.46,65,0.0200136,0.51,NA,0.41,NA,NA,NA,NA
Sao Tome and Principe,2024,0.673,0.565,0.423,0.479,0.818,0.752,0.45,69,0.05375159,NA,0.46,NA,NA,NA,NA,NA
Saudi Arabia,2024,0.015,0.047,0.021,0.113,0,0.192,0.59,38,0.04178684,0.67,0.46,0.69,NA,NA,NA,NA
Serbia,2024,0.315,0.22,0.223,0.282,0.211,0.723,0.35,105,0.01374835,0.35,0.32,0.31,2020,16.276,17.882,16.989
Seychelles,2024,0.741,0.659,0.324,0.616,0.891,0.717,0.72,18,0.039708679999999996,0.83,0.72,NA,2023,24.727,8.413,16.552
Singapore,2024,0.414,0.343,0.112,0.362,0.802,0.622,0.84,3,0.0147885,0.83,0.85,1,NA,NA,NA,NA
Slovakia,2024,0.752,0.584,0.525,0.59,0.931,0.73,0.49,59,0.02292958,0.51,0.72,0.3,NA,NA,NA,NA
Slovenia,2024,0.716,0.619,0.549,0.624,0.916,0.909,0.6,36,0.01775039,0.67,0.59,0.45,NA,NA,NA,NA
Solomon Islands,2024,0.665,0.519,0.409,0.391,0.705,0.562,0.43,76,0.07476987,NA,0.59,NA,NA,NA,NA,NA
Vanuatu,2024,0.796,0.686,0.51,0.613,0.897,0.799,0.5,57,0.01815897,NA,0.46,NA,2019,71.222,73.839,72.401
United Arab Emirates,2024,0.103,0.078,0.03,0.125,0.536,0.216,0.68,23,0.02164163,0.67,0.59,0.8,NA,NA,NA,NA
Hungary,2024,0.436,0.318,0.273,0.309,0.604,0.617,0.41,82,0.008885811,0.51,0.46,0.44,NA,NA,NA,NA
Zanzibar,2024,0.299,0.261,0.16,0.254,0.122,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
